SchoolID,SchoolName,SchoolCode,Email,Phone,PrincipalName,Address,BibRangeStart,BibRangeEnd
1106001,"SBV, B-Block, Nand Nagari (BP)",1106001,1106001hos@gmail.com,,,,6001,6025
1106002,"Dilshad Garden, Block C- SBV",1106002,1106002hos@gmail.com,,,,6026,6050
1106004,SBV Janta Flats Nand Nagri Delhi 93,1106004,1106004hos@gmail.com,,,,6051,6075
1106005,Mandoli-GBSSS,1106005,1106005hos@gmail.com,,,,6076,6100
1106006,"Shahdara, Mansarovar Park No.1-GBSSS",1106006,1106006hos@gmail.com,,,,6101,6125
1106009,SBV Seemapuri Delhi 95,1106009,1106009hos@gmail.com,,,,6126,6150
1106010,Ashok Nagar-GBSS,1106010,1106010hos@gmail.com,,,,6176,6200
1106011,New Seemapuri-GBSSS,1106011,1106011hos@gmail.com,,,,6201,6225
1106012,SBV J&K Block Dilshad Garden Delhi 95,1106012,1106012hos@gmail.com,,,,6226,6250
1106014,"Nand Nagri Extn. F-1,F-2-GBSSS",1106014,1106014hos@gmail.com,,,,6251,6275
1106018,New Seemapuri-SKV,1106018,1106018hos@gmail.com,,,,6276,6300
1106019,Mandoli-SKV,1106019,1106019hos@gmail.com,,,,6301,6325
1106021,Seemapuri-SKV (Vishwamitra),1106021,1106021hos@gmail.com,,,,6326,6350
1106022,Nand Nagri Block B-SKV (Raja Ravi Verma),1106022,1106022hos@gmail.com,,,,6351,6375
1106023,Dilshad Garden Block J&K-SKV (St. Eknath),1106023,1106023hos@gmail.com,,,,6376,6400
1106024,East of Loni Road DDA Flats-SKV,1106024,1106024hos@gmail.com,,,,6401,6425
1106025,Dilshad Garden Block C-SKV,1106025,1106025hos@gmail.com,,,,6426,6450
1106026,"Nand Nagri Extn. F-1,F-2-GGSSS",1106026,1106026hos@gmail.com,,,,6451,6475
1106112,Ashok Nagar-GGSS,1106112,1106112hos@gmail.com,,,,6476,6500
1106113,Nand Nagri Block E-SKV,1106113,1106113hos@gmail.com,,,,6501,6525
1106114,"CM Shri School, Mansarover Park, Shahdara",1106114,1106114hos@gmail.com,,,,6526,6550
1106116,Nand Nagri Block A-GGSSS,1106116,1106116hos@gmail.com,,,,6551,6575
1106117,Saboli-GGSSS,1106117,1106117hos@gmail.com,,,,6576,6600
1106118,East of Loni Road DDA Flats-GBSSS,1106118,1106118hos@gmail.com,,,,6601,6625
1106119,Nand Nagri Block A-GBSSS,1106119,1106119hos@gmail.com,,,,6626,6650
1106120,Saboli-GBSSS,1106120,1106120hos@gmail.com,,,,6651,6675
1106122,Old Seemapuri Block GH-GGSS,1106122,1106122hos@gmail.com,,,,6676,6700
1106123,Meet Nagar Block B-GGSS,1106123,1106123hos@gmail.com,,,,6701,6725
1106252,"CM Shri School D-Block, Nand Nagri",1106252,1106252hos@gmail.com,,,,6726,6750
1106256,Harsh Vihar GGSS,1106256,1106256hos@gmail.com,,,,6751,6775
1106258,Harsh Vihar GBSS,1106258,1106258hos@gmail.com,,,,6776,6800
1106259,Mandoli Extension-GGSSS,1106259,1106259hos@gmail.com,,,,6801,6825
1106261,"Meet Nagar B-Block Delhi-94, Govt. Boys Sec. School",1106261,1106261hos@gmail.com,,,,6826,6850
1106263,Old Seemapuri Block GH-GBSS,1106263,1106263hos@gmail.com,,,,6851,6875
1106264,GGSSS Sunder Nagri,1106264,1106264hos@gmail.com,,,,6876,6900
1106265,Mandoli Extension-GBSSS,1106265,1106265hos@gmail.com,,,,6901,6925
1106279,"GBSSS, Sunder Nagri",1106279,1106279hos@gmail.com,,,,6926,6950
1106281,"GGSSS, Old Seemapuri",1106281,1106281hos@gmail.com,,,,6951,6975
1106282,"SOSE, D-1, Nand Nagri",1106282,sose1106282@gmail.com,,,,6976,7000
1106290,"SKV, M-Block, Sunder Nagri",1106290,1106290hos@gmail.com,,,,7001,7025
1106291,"SBV, M-Block, Sunder Nagari",1106291,1106291hos@gmail.com,,,,12051,12076
